created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,,,,,,,,,,,,,,,
Sat Aug 05 23:44:42 +0000 2023,1.68797E+18,Terbaik emg.. arahan bu Mega ke Ganjar Pranowo sebagai capres.. wajib sejahterakan rakyat,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 23:40:49 +0000 2023,1.68797E+18,@Bambangmulyonoo Capres goblok bloon,0,0,0,0,en,1.00523E+18,1.68767E+18,MoeliaSalam,https://twitter.com/MoeliaSalam/status/1687971953456599040,,,,,,,,,,,,,,,
Sat Aug 05 23:40:41 +0000 2023,1.68797E+18,Gibran menolak dikaitkan sebagai Capres Prabowo https://t.co/RMPl3Zaafy,0,1,0,0,in,1.56452E+18,1.68797E+18,banu83999969,https://twitter.com/banu83999969/status/1687971921437261824,,,,,,,,,,,,,,,
Sat Aug 05 23:39:13 +0000 2023,1.68797E+18,@AndiSinulingga Lumayan sdh bisa nambah pengalaman lagi,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 23:38:17 +0000 2023,1.68797E+18,@tvOneNews Salut banget sih capres satu ini ga kenal lelah terus kampanye keliling Indonesia padahal belom waktunya 😌,0,4,1,8,in,1.55804E+18,1.68783E+18,txtdrwumbo,https://twitter.com/txtdrwumbo/status/1687971314831958016,,,,,,,,,,,,,,,
Sat Aug 05 23:37:21 +0000 2023,1.68797E+18,Komentari Gugatan Usia Capres-Cawapres,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 23:37:00 +0000 2023,1.68797E+18,@kompascom Yg jelas ,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 23:35:52 +0000 2023,1.68797E+18,@musashi_masabi @prabowo @Gerindra Mhn maaf Yai emang Cak Gus @cakimiNOW laku gitu.... Jdi Cawapres? kan mau jdi capres aja gada yg dukung dari partai2 lain. Miris sihhh @DPP_PKB katanya partai NU tapi.... Kalo emang bener PKB milik Nahdliyyin y Munaslub ,0,1,0,1,in,8.70971E+17,1.68748E+18,InnaFaqis,https://twitter.com/InnaFaqis/status/1687970707303788544,,,,,,,,,,,,,,,
Sat Aug 05 23:35:44 +0000 2023,1.68797E+18,@MichelAdam7__ Yg waras pasti pilih Anies kecuali ada yg lebih baik dri Anies klo Prabowo jelas akan melanjutkan sgla kebijkn jkw yg mrugikan rkyt ! Ganjar ! Bapak doyan nonton bokep! Masih menjabat gubernur kampanye capres bknkah menunjukkan Ganjar berme,0,1,1,1,in,1.45514E+18,1.68774E+18,imriatitriyanto,https://twitter.com/imriatitriyanto/status/1687970675573805056,,,,,,,,,,,,,,,
Sat Aug 05 23:33:30 +0000 2023,1.68797E+18,@ch_chotimah2 @ganjarpranowo Hanya PEMUDA MUHAMMADIYAH YANG DUNGU TAK BERMORAL saja yg mau menyerahkan Pemimpin Bangsa Indonesia kpd CAPRES HOBI NONTON BOKEP,0,0,0,0,in,1.67514E+18,1.68768E+18,AveroMutta20655,https://twitter.com/AveroMutta20655/status/1687970111356018688,,,,,,,,,,,,,,,
Sat Aug 05 23:31:22 +0000 2023,1.68797E+18,@AREAJULID kalau di wakanda62 bisa jadi capres https://t.co/zWapJ6ECqQ,0,0,0,1,in,1.02936E+18,1.68784E+18,3adhidon,https://twitter.com/3adhidon/status/1687969576888504320,,,,,,,,,,,,,,,
Sat Aug 05 23:30:57 +0000 2023,1.68797E+18,Siapa Guntur Romli? Pilih Mundur dari PSI yang Mulai Dekat dengan Prabowo,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 23:30:55 +0000 2023,1.68797E+18,#10Agustus2023MogokNasional   Capres Anies Rasyid Baswedan? tnp kampanye? insyaa Allah menang,,,,,,,,,,,,,,,,,,,,,,,,
Sat Aug 05 23:29:31 +0000 2023,1.68797E+18,@tvOneNews ini media memang lapar sama klik  semua capres diberitakan diteriaki presiden  emang Jokowi teriak²  😂😂😂,0,1,0,0,in,2253520212,1.68783E+18,rejeki_h4l4l,https://twitter.com/rejeki_h4l4l/status/1687969109206867968,,,,,,,,,,,,,,,
Sat Aug 05 23:23:26 +0000 2023,1.68797E+18,@lek_brewok Ayah wowo tenggelamkan saja biar jadi capres abadi,0,0,0,0,in,1027456712,1.68786E+18,mioarip,https://twitter.com/mioarip/status/1687967579103739904,,,,,,,,,,,,,,,
Sat Aug 05 23:22:55 +0000 2023,1.68797E+18,@waraujo64 @nuevasideas @XZablah Y por qué no pide que echen a Alejandro de CAPRES?,0,0,0,0,es,1.27652E+18,1.68796E+18,LoEspino1,https://twitter.com/LoEspino1/status/1687967449906388993,,,,,,,,,,,,,,,
Sat Aug 05 23:14:18 +0000 2023,1.68797E+18,@psi_id Yg tadinya mungkin bisa partai yg bisa di banggakan.. Eh ternyata membelot ke capres Cendana dan orde baru..,0,0,0,1,in,623534401,1.68777E+18,HeriiSetiadi,https://twitter.com/HeriiSetiadi/status/1687965281015173120,,,,,,,,,,,,,,,
